league_id,match_id,battle_id,date,game_no,team1,team2,winner,duration_min,snapshot_count,has_timeline,gold_diff,kill_diff,tower_diff,objective_diff,total_kills,total_towers
20260003,2026062601,48251408_55_1782458393,2026-06-26,3,长沙TES.A,佛山DRG,,23.316666666666666,17,True,4823,0,0,1,20,16
20260003,2026062602,434127376_3_1782464559,2026-06-26,1,上海EDG.M,南通Hero久竞,南通Hero久竞,12.033333333333333,14,True,-12681,-14,-4,-4,14,6
20260003,2026062602,434127376_4_1782466310,2026-06-26,2,南通Hero久竞,上海EDG.M,上海EDG.M,14.25,4,True,-6998,-9,-1,-2,15,5
20260003,2026062602,434127376_5_1782468188,2026-06-26,3,上海EDG.M,南通Hero久竞,南通Hero久竞,12.0,16,True,-4082,-7,-2,-1,17,8
20260003,2026062602,434127376_6_1782469833,2026-06-26,4,南通Hero久竞,上海EDG.M,上海EDG.M,15.166666666666666,19,True,-10415,-5,-3,-4,11,7
20260003,2026062602,434127376_7_1782471476,2026-06-26,5,上海EDG.M,南通Hero久竞,,3.9166666666666665,6,True,1218,1,0,0,1,0
20260003,2026062603,1272988176_16_1782475230,2026-06-26,1,广州TTG,北京JDG,北京JDG,12.983333333333333,20,True,-7669,-8,-4,-3,14,4
20260003,2026062603,1272988176_17_1782477089,2026-06-26,2,北京JDG,广州TTG,,9.1,17,True,-3580,-6,-1,1,12,5
20260003,2026062603,1272988176_18_1782478925,2026-06-26,3,广州TTG,北京JDG,北京JDG,23.4,41,True,1902,7,-2,-2,27,12
20260003,2026062603,1272988176_19_1782481245,2026-06-26,4,北京JDG,广州TTG,广州TTG,15.95,26,True,-10753,-7,-8,-3,11,10
20260003,2026062603,1272988176_20_1782483021,2026-06-26,5,广州TTG,北京JDG,北京JDG,13.666666666666666,21,True,-8921,-6,-7,-4,8,7
20260003,2026062701,48251408_57_1782540097,2026-06-27,1,SYG,西安WE,SYG,10.833333333333334,10,True,4616,4,4,0,12,6
20260003,2026062701,48251408_58_1782541737,2026-06-27,2,西安WE,SYG,SYG,11.0,17,True,-5025,-5,-3,-2,11,5
20260003,2026062701,48251408_59_1782543350,2026-06-27,3,西安WE,SYG,西安WE,14.816666666666666,26,True,6344,10,4,2,22,10
20260003,2026062701,48251408_60_1782545198,2026-06-27,4,SYG,西安WE,,23.4,27,True,-6093,-6,-4,-6,14,14
20260003,2026062701,48251408_61_1782547369,2026-06-27,5,SYG,西安WE,SYG,15.15,18,True,8067,8,8,3,16,10
20260003,2026062703,501236240_17_1782561998,2026-06-27,1,成都AG超玩会,济南RW侠,,12.45,19,True,-3378,-4,-4,-4,4,8
20260003,2026062703,501236240_18_1782563944,2026-06-27,2,济南RW侠,成都AG超玩会,济南RW侠,15.316666666666666,25,True,7296,7,9,6,11,9
20260003,2026062703,501236240_19_1782565764,2026-06-27,3,成都AG超玩会,济南RW侠,,12.45,15,True,-2490,-2,-2,-4,8,10
20260003,2026062801,836780560_22_1782626492,2026-06-28,1,杭州LGD.NBW,上海EDG.M,,13.616666666666667,22,True,11299,11,6,2,19,8
20260003,2026062801,836780560_23_1782628431,2026-06-28,2,上海EDG.M,杭州LGD.NBW,杭州LGD.NBW,12.483333333333333,19,True,-11439,-11,-6,-4,19,10
20260003,2026062801,836780560_24_1782630309,2026-06-28,3,杭州LGD.NBW,上海EDG.M,,17.8,29,True,3119,5,-2,0,23,14
20260003,2026062802,48251408_68_1782637223,2026-06-28,1,北京WB,南通Hero久竞,,13.95,4,False,8178,6,5,4,18,9
20260003,2026062802,48251408_69_1782639110,2026-06-28,2,北京WB,南通Hero久竞,,11.45,3,False,-3806,-2,-6,-1,2,6
20260003,2026062802,48251408_70_1782641051,2026-06-28,3,南通Hero久竞,北京WB,,12.45,6,True,-4373,-2,-2,-2,8,8
20260003,2026062802,48251408_71_1782642831,2026-06-28,4,北京WB,南通Hero久竞,,15.116666666666667,11,True,7942,3,6,4,11,10
20260003,2026062803,970998288_15_1782647996,2026-06-28,1,重庆狼队,WST,重庆狼队,12.05,22,True,8857,8,6,3,12,8
20260003,2026062803,970998288_16_1782649772,2026-06-28,2,重庆狼队,WST,重庆狼队,14.933333333333334,19,True,6793,11,2,3,15,6
20260003,2026062803,970998288_17_1782651691,2026-06-28,3,WST,重庆狼队,,10.266666666666667,12,True,-5633,-7,-3,-1,11,7
20260003,2026070101,48251408_6_1782885655,2026-07-01,1,上海EDG.M,上海RNG.M,上海RNG.M,22.65,40,True,-6611,-2,-3,-6,26,9
20260003,2026070101,48251408_7_1782887995,2026-07-01,2,上海RNG.M,上海EDG.M,上海EDG.M,14.716666666666667,31,True,-5783,-3,-5,-2,11,9
20260003,2026070101,48251408_8_1782889937,2026-07-01,3,上海EDG.M,上海RNG.M,上海EDG.M,13.366666666666667,26,True,7172,6,5,4,10,5
20260003,2026070101,48251408_9_1782891662,2026-07-01,4,上海EDG.M,上海RNG.M,上海RNG.M,17.55,37,True,-693,0,2,4,14,10
20260003,2026070101,48251408_10_1782893423,2026-07-01,5,上海EDG.M,上海RNG.M,,11.033333333333333,22,True,5146,8,2,3,18,6
20260003,2026070102,48251408_11_1782898351,2026-07-01,1,SYG,佛山DRG,,16.966666666666665,37,True,-3758,-6,-2,-3,10,12
20260003,2026070102,48251408_12_1782900383,2026-07-01,2,佛山DRG,SYG,SYG,22.7,52,True,-3923,-3,-2,-1,11,10
20260003,2026070102,48251408_13_1782902726,2026-07-01,3,SYG,佛山DRG,佛山DRG,14.75,29,True,-5446,-10,-1,-1,14,7
20260003,2026070102,48251408_14_1782904610,2026-07-01,4,佛山DRG,SYG,佛山DRG,15.7,33,True,7089,7,5,0,11,11
20260003,2026070103,1222656528_3_1782907580,2026-07-01,1,北京WB,杭州LGD.NBW,北京WB,13.516666666666667,23,True,7511,3,2,4,17,4
20260003,2026070103,1222656528_4_1782909470,2026-07-01,2,杭州LGD.NBW,北京WB,北京WB,16.116666666666667,32,True,-4170,-3,-2,-3,19,8
20260003,2026070103,1222656528_5_1782911562,2026-07-01,3,杭州LGD.NBW,北京WB,北京WB,14.9,25,True,-10952,-19,-4,0,29,6
20260003,2026070201,48251408_18_1782972301,2026-07-02,1,长沙TES.A,广州TTG,广州TTG,15.35,24,True,-7940,-4,-5,-1,12,9
20260003,2026070201,48251408_19_1782974266,2026-07-02,2,广州TTG,长沙TES.A,长沙TES.A,14.116666666666667,27,True,-4017,-3,-2,-1,13,8
20260003,2026070201,48251408_20_1782976074,2026-07-02,3,长沙TES.A,广州TTG,长沙TES.A,11.183333333333334,24,True,3976,3,2,3,9,4
20260003,2026070201,48251408_21_1782977684,2026-07-02,4,长沙TES.A,广州TTG,广州TTG,16.766666666666666,32,True,-5142,-8,-3,-2,12,9
20260003,2026070201,48251408_22_1782979372,2026-07-02,5,广州TTG,长沙TES.A,长沙TES.A,16.95,32,True,-9755,-4,-6,-2,14,8
20260003,2026070203,1272988176_4_1782993646,2026-07-02,1,西安WE,北京JDG,,16.633333333333333,37,True,8974,9,8,7,13,10
20260003,2026070203,1272988176_5_1782995910,2026-07-02,2,西安WE,北京JDG,北京JDG,16.8,31,True,-7292,-6,-5,-4,6,7
20260003,2026070203,1272988176_6_1782997932,2026-07-02,3,北京JDG,西安WE,北京JDG,14.966666666666667,29,True,10068,11,2,0,15,6
20260003,2026070203,1272988176_7_1782999817,2026-07-02,4,北京JDG,西安WE,,14.533333333333333,23,True,5633,9,9,3,23,9
20260003,2026070301,434127376_4_1783058521,2026-07-03,1,南通Hero久竞,上海RNG.M,南通Hero久竞,15.6,45,True,5147,9,5,1,23,7
20260003,2026070301,434127376_5_1783060386,2026-07-03,2,上海RNG.M,南通Hero久竞,南通Hero久竞,15.1,43,True,-4759,-11,-7,-3,13,9
20260003,2026070301,434127376_6_1783062333,2026-07-03,3,上海RNG.M,南通Hero久竞,,13.283333333333333,35,True,-4120,-6,-7,-4,20,11
20260003,2026070302,48251408_28_1783069245,2026-07-03,1,武汉eStarPro,上海EDG.M,上海EDG.M,14.316666666666666,40,True,-8498,-5,-6,0,11,10
20260003,2026070302,48251408_29_1783071189,2026-07-03,2,武汉eStarPro,上海EDG.M,上海EDG.M,13.733333333333333,43,True,-7312,-6,-8,-4,12,10
20260003,2026070302,48251408_30_1783073077,2026-07-03,3,上海EDG.M,武汉eStarPro,上海EDG.M,18.033333333333335,50,True,3686,6,-1,1,22,9
