league_id,match_id,date,start_time,team1,team2,stage,bo_type,scheduled_battles,has_raw
20260003,2026071003,2026-07-10,2026-07-10 20:00:00,北京JDG,成都AG超玩会,未知赛段,5,4,0
20260003,2026071201,2026-07-12,2026-07-12 14:00:00,北京JDG,KSG,未知赛段,5,3,0
20260003,2026071202,2026-07-12,2026-07-12 17:00:00,重庆狼队,济南RW侠,未知赛段,5,5,0
20260003,2026071203,2026-07-12,2026-07-12 20:00:00,北京WB,成都AG超玩会,未知赛段,5,3,0
20260003,2026071301,2026-07-13,2026-07-13 14:00:00,上海RNG.M,西安WE,未知赛段,5,5,0
20260003,2026071302,2026-07-13,2026-07-13 17:00:00,深圳DYG,WST,未知赛段,5,4,0
20260003,2026071303,2026-07-13,2026-07-13 20:00:00,杭州LGD.NBW,广州TTG,未知赛段,5,3,0
20260003,2026071501,2026-07-15,2026-07-15 14:00:00,SYG,长沙TES.A,未知赛段,5,4,0
20260003,2026071502,2026-07-15,2026-07-15 17:00:00,西安WE,WST,未知赛段,5,5,0
20260003,2026071503,2026-07-15,2026-07-15 20:00:00,南通Hero久竞,上海EDG.M,未知赛段,5,4,0
20260003,2026071601,2026-07-16,2026-07-16 14:00:00,佛山DRG,上海RNG.M,未知赛段,5,5,0
20260003,2026071602,2026-07-16,2026-07-16 17:00:00,武汉eStarPro,深圳DYG,未知赛段,5,4,0
20260003,2026071603,2026-07-16,2026-07-16 20:00:00,北京JDG,广州TTG,未知赛段,5,3,0
20260003,2026071701,2026-07-17,2026-07-17 14:00:00,南通Hero久竞,长沙TES.A,未知赛段,5,3,0
20260003,2026071702,2026-07-17,2026-07-17 17:00:00,杭州LGD.NBW,北京WB,未知赛段,5,3,0
20260003,2026071703,2026-07-17,2026-07-17 20:00:00,成都AG超玩会,KSG,未知赛段,5,5,1
20260003,2026071801,2026-07-18,2026-07-18 14:00:00,佛山DRG,WST,未知赛段,5,4,0
20260003,2026071802,2026-07-18,2026-07-18 17:00:00,上海RNG.M,深圳DYG,未知赛段,5,3,0
20260003,2026071803,2026-07-18,2026-07-18 20:00:00,重庆狼队,SYG,未知赛段,5,5,0
20260003,2026071901,2026-07-19,2026-07-19 14:00:00,上海EDG.M,济南RW侠,未知赛段,5,5,0
20260003,2026071902,2026-07-19,2026-07-19 17:00:00,杭州LGD.NBW,北京JDG,未知赛段,5,4,0
20260003,2026071903,2026-07-19,2026-07-19 20:00:00,成都AG超玩会,广州TTG,未知赛段,5,1,1
20260003,2026072101,2026-07-21,2026-07-21 14:00:00,长沙TES.A,上海EDG.M,未知赛段,5,0,0
20260003,2026072102,2026-07-21,2026-07-21 17:00:00,佛山DRG,西安WE,未知赛段,5,0,0
20260003,2026072103,2026-07-21,2026-07-21 20:00:00,济南RW侠,SYG,未知赛段,5,0,0
20260003,2026072201,2026-07-22,2026-07-22 14:00:00,武汉eStarPro,上海RNG.M,未知赛段,5,0,0
20260003,2026072202,2026-07-22,2026-07-22 17:00:00,杭州LGD.NBW,KSG,未知赛段,5,0,0
20260003,2026072203,2026-07-22,2026-07-22 20:00:00,北京WB,广州TTG,未知赛段,5,0,0
20260003,2026072301,2026-07-23,2026-07-23 14:00:00,SYG,上海EDG.M,未知赛段,5,0,0
