league_id,match_id,start_time,date,year,team1,team2,status,status_text,stage,round_name,bo_type,battle_ids,battle_count,cc_match_id
20260003,2026062701,2026-06-27 14:00:00,2026-06-27,2026,西安WE,SYG,2,已结束,未知赛段,未知轮次,5,48251408_57_1782540097|48251408_58_1782541737|48251408_59_1782543350|48251408_60_1782545198|48251408_61_1782547369,5,KPL2026S2M2W4D1
20260003,2026062702,2026-06-27 17:00:00,2026-06-27,2026,KSG,深圳DYG,2,已结束,未知赛段,未知轮次,5,48251408_62_1782552326|48251408_63_1782554190|48251408_64_1782555798|48251408_65_1782557619,4,KPL2026S2M2W4D2
20260003,2026062703,2026-06-27 20:00:00,2026-06-27,2026,成都AG超玩会,济南RW侠,2,已结束,未知赛段,未知轮次,5,501236240_17_1782561998|501236240_18_1782563944|501236240_19_1782565764,3,KPL2026S2M2W4D3
20260003,2026062801,2026-06-28 14:00:00,2026-06-28,2026,杭州LGD.NBW,上海EDG.M,2,已结束,未知赛段,未知轮次,5,836780560_22_1782626492|836780560_23_1782628431|836780560_24_1782630309,3,KPL2026S2M2W5D1
20260003,2026062802,2026-06-28 17:00:00,2026-06-28,2026,南通Hero久竞,北京WB,2,已结束,未知赛段,未知轮次,5,48251408_68_1782637223|48251408_69_1782639110|48251408_70_1782641051|48251408_71_1782642831,4,KPL2026S2M2W5D2
20260003,2026062803,2026-06-28 20:00:00,2026-06-28,2026,重庆狼队,WST,2,已结束,未知赛段,未知轮次,5,970998288_15_1782647996|970998288_16_1782649772|970998288_17_1782651691,3,KPL2026S2M2W5D3
20260003,2026070101,2026-07-01 14:00:00,2026-07-01,2026,上海RNG.M,上海EDG.M,2,已结束,未知赛段,未知轮次,5,48251408_6_1782885655|48251408_7_1782887995|48251408_8_1782889937|48251408_9_1782891662|48251408_10_1782893423,5,KPL2026S2M3W1D1
20260003,2026070102,2026-07-01 17:00:00,2026-07-01,2026,佛山DRG,SYG,2,已结束,未知赛段,未知轮次,5,48251408_11_1782898351|48251408_12_1782900383|48251408_13_1782902726|48251408_14_1782904610,4,KPL2026S2M3W1D2
20260003,2026070103,2026-07-01 20:00:00,2026-07-01,2026,北京WB,杭州LGD.NBW,2,已结束,未知赛段,未知轮次,5,1222656528_3_1782907580|1222656528_4_1782909470|1222656528_5_1782911562,3,KPL2026S2M3W1D3
20260003,2026070201,2026-07-02 14:00:00,2026-07-02,2026,广州TTG,长沙TES.A,2,已结束,未知赛段,未知轮次,5,48251408_18_1782972301|48251408_19_1782974266|48251408_20_1782976074|48251408_21_1782977684|48251408_22_1782979372,5,KPL2026S2M3W2D1
20260003,2026070202,2026-07-02 17:00:00,2026-07-02,2026,深圳DYG,济南RW侠,2,已结束,未知赛段,未知轮次,5,48251408_23_1782985322|48251408_24_1782987005|48251408_25_1782988938,3,KPL2026S2M3W2D2
20260003,2026070203,2026-07-02 20:00:00,2026-07-02,2026,北京JDG,西安WE,2,已结束,未知赛段,未知轮次,5,1272988176_4_1782993646|1272988176_5_1782995910|1272988176_6_1782997932|1272988176_7_1782999817,4,KPL2026S2M3W2D3
20260003,2026070301,2026-07-03 14:00:00,2026-07-03,2026,南通Hero久竞,上海RNG.M,2,已结束,未知赛段,未知轮次,5,434127376_4_1783058521|434127376_5_1783060386|434127376_6_1783062333,3,KPL2026S2M3W3D1
20260003,2026070302,2026-07-03 17:00:00,2026-07-03,2026,上海EDG.M,武汉eStarPro,2,已结束,未知赛段,未知轮次,5,48251408_28_1783069245|48251408_29_1783071189|48251408_30_1783073077,3,KPL2026S2M3W3D2
20260003,2026070303,2026-07-03 20:00:00,2026-07-03,2026,成都AG超玩会,重庆狼队,2,已结束,未知赛段,未知轮次,5,501236240_3_1783080303|501236240_4_1783082769|501236240_5_1783084613|501236240_6_1783086603|501236240_7_1783088244,5,KPL2026S2M3W3D3
20260003,2026070401,2026-07-04 14:00:00,2026-07-04,2026,广州TTG,SYG,2,已结束,未知赛段,未知轮次,5,48251408_33_1783144897|48251408_34_1783146545|48251408_35_1783148188,3,KPL2026S2M3W4D1
20260003,2026070402,2026-07-04 17:00:00,2026-07-04,2026,KSG,WST,2,已结束,未知赛段,未知轮次,5,48251408_36_1783155753|48251408_37_1783157545|48251408_38_1783159888,3,KPL2026S2M3W4D2
20260003,2026070403,2026-07-04 20:00:00,2026-07-04,2026,北京JDG,佛山DRG,2,已结束,未知赛段,未知轮次,5,1272988176_10_1783166431|1272988176_11_1783168590|1272988176_12_1783170451,3,KPL2026S2M3W4D3
20260003,2026070501,2026-07-05 14:00:00,2026-07-05,2026,南通Hero久竞,武汉eStarPro,2,已结束,未知赛段,未知轮次,5,48251408_40_1783231250|48251408_41_1783233087|48251408_42_1783235107|48251408_43_1783237005|48251408_44_1783238715,5,KPL2026S2M3W5D1
20260003,2026070502,2026-07-05 17:00:00,2026-07-05,2026,重庆狼队,济南RW侠,2,已结束,未知赛段,未知轮次,5,970998288_3_1783242248|970998288_4_1783244960|970998288_5_1783247198|970998288_6_1783249163|970998288_7_1783250863,5,KPL2026S2M3W5D2
20260003,2026070503,2026-07-05 20:00:00,2026-07-05,2026,成都AG超玩会,深圳DYG,2,已结束,未知赛段,未知轮次,5,501236240_10_1783254441|501236240_11_1783256096|501236240_12_1783257974,3,KPL2026S2M3W5D3
